Band,Song,Guitarist,Technique,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Toxic Holocaust,Acid Fuzz,,['Distortion Guitar 1'],41,2013,0.209,0.985,-4.643,0.0974,1.66e-06,0.0187,0.226,0.404,170.44,151107,,,,,Medium,Low,Low,Low,Medium,Medium,4.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Primal Fear,Diabolus,,['Acoustic Guitar (steel)'],15,2005,0.399,0.868,-4.275,0.0414,0.000106,0.0109,0.195,0.18,139.914,474440,,,,,Low,Low,Low,High,Medium,Medium,2.0,2.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Uada,Cult of a Dying Sun,['Distortion L'],['Distortion Guitar'],30,2018,0.0905,0.945,-3.274,0.0827,0.000132,0.934,0.333,0.0865,179.963,498167,,,,,Medium,Low,Low,Low,Medium,Medium,4.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Turnstile,HOLIDAY,['Track 2'],['Distortion Guitar'],60,2021,0.537,0.858,-7.743,0.0428,0.00188,0.658,0.0716,0.323,154.996,172021,,,,,Medium,Low,Low,Low,High,Medium,6.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Turnstile,Underwater Boi,['Track 2'],['Distortion Guitar'],59,2021,0.699,0.881,-6.198,0.046,0.0294,0.111,0.0842,0.297,131.037,184944,,,,,Medium,Low,Medium,Medium,Low,Medium,4.0,6.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Primal Fear,Demons and Angels,,['Distortion Guitar 1'],18,2005,0.487,0.995,-3.359,0.123,1.08e-05,0.695,0.0371,0.0644,130.038,332427,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
66samus,Jewish Metal,['Samus Paulicelli '],['Distortion Guitar'],8,2014,0.391,0.993,-5.629,0.146,3.17e-06,0.97,0.301,0.0615,190.018,88268,,,,,Low,Low,Low,Low,Medium,Medium,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Gojira,Space Time,['Joe Duplantier'],['Electric Guitar (jazz)'],42,2001,0.354,0.606,-5.799,0.0385,5.67e-05,0.515,0.0924,0.138,94.877,320834,,,,,Low,Low,Low,Low,Medium,Medium,4.0,5.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rom,bro that romper looks tite on dat ass tho,,"['Distortion Guitar 1', 'Lead Guitar']",0,2022,0.477,0.952,-2.802,0.074,0.00733,0.0,0.387,0.324,104.958,193163,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,1.0,3.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rage,The Edge of Darkness,,['Distortion Guitar 2'],2,2010,0.475,0.938,-6.186,0.0563,0.0136,0.00654,0.212,0.414,163.931,272520,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Rage,Voice From the Vault,,['Acoustic Guitar (nylon)'],2,1996,0.566,0.911,-5.783,0.0405,0.000277,4.01e-05,0.144,0.181,133.063,336667,,,,,Low,Low,Low,Low,Medium,Medium,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rage,Forever,,['Distortion Guitar 3'],12,2012,0.567,0.906,-6.873,0.0541,3.1e-05,0.00646,0.112,0.481,112.007,379640,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Primal Fear,King for a Day,,['Distortion Guitar 4'],24,2017,0.497,0.983,-4.182,0.104,1.46e-06,0.0202,0.104,0.36,104.989,224693,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Intermidiate']"
Rage,Through Ages,,['Acoustic Guitar (steel)'],5,2010,0.619,0.337,-15.902,0.0305,0.262,0.00311,0.108,0.519,125.983,125747,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Rage,Blackened Karma,,"['Distortion Guitar', 'Lead Guitar']",13,2017,0.495,0.991,-5.168,0.138,1.72e-05,0.335,0.502,0.16,108.794,278680,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death,Bite the Pain,['Harmonizer'],['Distortion Guitar'],44,1998,0.343,0.981,-3.574,0.206,0.000282,0.00048,0.111,0.354,83.796,269773,,,,,Low,Low,Low,Low,Low,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Advanced', 'piano_Beginner', 'bass_Intermidiate']"
Gazette,Last Heaven,"['Aoi', 'Uruha']","['Overdriven Guitar', 'Guitar 1']",31,2013,0.501,0.839,-4.877,0.0296,0.00292,1.14e-05,0.127,0.546,90.011,283253,['Ruki'],['Reita'],['UkeYutaka'],[],Medium,Low,Medium,High,Medium,Medium,5.0,7.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Sylosis,I Sever,,"['Acoustic Guitar (steel)', 'Accoustic Guitar']",44,2020,0.459,0.938,-5.41,0.0948,0.000889,0.00671,0.25,0.11,198.056,308173,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Sentenced,Dead Moon Rising,,"['Distortion Guitar', 'distorted guitar 1']",24,2000,0.585,0.813,-5.401,0.0315,0.000347,0.108,0.259,0.501,127.055,293907,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Kronowski,The Pyre,['2nd Down'],['Overdriven Guitar'],43,2021,0.379,0.895,-6.032,0.0627,2.13e-05,0.00105,0.341,0.359,170.089,220000,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Marco Molteni,Winter Snow,,['Distortion Guitar'],0,2022,0.697,0.288,-15.86,0.0735,0.425,0.255,0.0822,0.359,144.015,201000,,,,,Low,Low,Low,Medium,Medium,Medium,8.0,0.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Cky,Disengage The Simulator,['2'],['Distortion Guitar'],46,1999,0.324,0.846,-8.883,0.0596,0.000187,9.11e-05,0.093,0.558,151.256,183653,['DanielDavies'],['MattDeis'],['JessMargera'],[],Low,Low,Low,Medium,Low,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Pretty Little Fake,Poetry In Motion,['GTR Rhythm'],['Distortion Guitar'],0,2021,0.455,0.477,-9.566,0.027,0.0541,0.0,0.102,0.131,90.012,232375,,,,,Low,Low,Low,Low,High,Medium,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
Pretty Little Fake,Tripping Over Nothing,['GTR Rhythm'],['Distortion Guitar'],0,2021,0.335,0.745,-9.094,0.0344,0.000125,0.0,0.157,0.48,154.893,256258,,,,,Low,Low,Low,Low,Medium,Medium,1.0,2.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Pretty Little Fake,Something New,['GTR Rhythm'],['Distortion Guitar'],0,2021,0.358,0.642,-9.498,0.0317,0.00014,0.0,0.121,0.477,81.016,221111,,,,,Low,Low,Low,Low,Low,Medium,0.0,4.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Pretty Little Fake,Living In Stockholm,['GTR Lead'],['Distortion Guitar'],0,2021,0.399,0.841,-5.949,0.0614,0.000223,0.00309,0.376,0.378,89.971,174295,,,,,Low,Low,Low,Low,Low,Medium,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Mastodon,Black Tongue,,"['Distortion Guitar', 'Guitar 2']",33,2011,0.216,0.969,-4.299,0.145,3.36e-06,0.608,0.107,0.201,146.864,207320,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Pantera,Revolution Is My Name,['Dimebag Darrell'],['Distortion Guitar'],57,2000,0.243,0.988,-3.485,0.197,6.17e-05,0.12,0.341,0.277,89.905,316493,"['PhilAnselmo', 'TerryLeeGlaze']",['RexBrown'],['VinniePaul(1964-2018)'],[],Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Metallica,Sad But True,['Extra 2'],['Distortion Guitar'],66,1991,0.624,0.876,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,324600,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,Low,Medium,Medium,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Drunad,Nolosop,,['Distortion Guitar 1'],0,2022,0.419,0.982,-3.657,0.255,0.0101,0.64,0.582,0.247,113.794,97161,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Intermidiate']"
Sentenced,The Suicider,['Kitara 2'],['Distortion Guitar'],31,1998,0.397,0.837,-7.248,0.0501,1.6e-05,0.479,0.378,0.668,155.169,223733,,,,,Low,Low,Low,Low,Medium,Medium,0.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Mastodon,Quintessence,,"['Distortion Guitar', 'Guitar I']",36,2009,0.162,0.962,-5.073,0.0709,6.41e-06,0.131,0.349,0.343,101.505,327480,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Mastodon,The Czar,['Pista 3'],['Distortion Guitar'],40,2009,0.267,0.919,-5.332,0.062,0.00018,0.578,0.111,0.232,118.826,654293,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
All Hallow's Evil,"Broken, but Learning",['Gtr II'],['Distortion Guitar'],0,2006,0.487,0.839,-5.493,0.0348,0.00122,0.00224,0.0908,0.349,93.024,312320,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
All Hallow's Evil,Veneer,['Gtr II'],['Distortion Guitar'],0,2006,0.629,0.52,-10.198,0.0366,0.372,0.135,0.147,0.192,92.993,209027,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Fu Manchu,Eatin' Dust,,['Acoustic Guitar (nylon)'],47,2010,0.292,0.927,-5.142,0.081,0.000126,0.0417,0.178,0.403,92.236,190800,,,,,Medium,Low,Medium,Medium,Medium,Medium,5.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Romantic Rights,,['Overdriven Guitar'],41,2004,0.516,0.961,-5.37,0.157,0.00316,0.0,0.404,0.458,150.147,195107,,,,,Low,Low,Low,High,Low,Medium,3.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Converge,Cutter,,['Distortion Guitar'],24,2009,0.125,0.974,-3.783,0.148,1.53e-06,0.94,0.193,0.156,163.503,100387,,,,,Medium,Low,Low,Medium,Medium,High,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
Death From Above 1979,Dead Womb,['Jesse F.Keeler'],['Distortion Guitar'],35,2002,0.508,0.987,-4.156,0.215,0.00103,0.083,0.0692,0.0634,112.125,126483,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Too Much Love,['Jesse F. Keeler'],['Distortion Guitar'],24,2002,0.416,0.998,-3.503,0.115,0.000365,0.00294,0.24,0.0396,107.46,108302,,,,,Medium,Low,Low,Low,Medium,Medium,4.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,My Love Is Shared,['Jesse F. Keeler'],['Distortion Guitar'],27,2002,0.465,0.994,-4.116,0.092,0.000127,0.619,0.208,0.247,107.509,111632,,,,,Medium,Low,Low,Low,Medium,Medium,4.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Manowar,Warriors Of The World United,,['Distortion Guitar'],51,2002,0.595,0.664,-7.575,0.0356,0.00234,0.0609,0.0652,0.188,87.03,351217,,,,,Low,Low,Low,Low,Medium,Low,3.0,3.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Beginner']"
Napalm Death,Climate Controllers,,['Overdriven Guitar'],11,2005,0.302,0.994,-4.119,0.141,1.35e-05,0.689,0.305,0.156,111.05,186600,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Symphony X,Domination,['Michael Lepond'],['Distortion Guitar'],34,2007,0.513,0.983,-4.567,0.0722,0.000123,0.000222,0.0744,0.463,117.98,389467,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,If We Don't Make It Well Fake It,['BASS'],['Distortion Guitar'],26,2002,0.254,0.976,-3.696,0.125,0.0018,0.8,0.385,0.381,107.524,156671,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Crystal Ball,['Jesse F. Keeler'],['Distortion Guitar'],33,2014,0.421,0.943,-2.825,0.0815,9.06e-06,3.37e-05,0.0355,0.553,148.012,171400,,,,,Medium,Low,Medium,High,Medium,High,6.0,4.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
Death From Above 1979,Right On Frankenstein,['Jesse F. Keeler'],['Distortion Guitar'],40,2014,0.219,0.986,-3.141,0.175,0.000102,0.0013,0.148,0.323,102.707,185387,,,,,High,Low,Low,Medium,Medium,Medium,7.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Government Trash,['Jesse F. Keeler'],['Distortion Guitar'],22,2014,0.192,0.972,-3.501,0.168,4.69e-05,0.203,0.699,0.214,214.838,180173,,,,,Medium,Low,Low,Low,Medium,Medium,5.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Always On,['Jesse F. Keeler'],['Distortion Guitar'],25,2014,0.361,0.982,-2.302,0.102,7.2e-05,0.0,0.0724,0.264,104.879,152907,,,,,Medium,Low,Medium,Medium,Medium,Medium,6.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Nothin Left,,['Overdriven Guitar'],24,2014,0.384,0.956,-3.242,0.09,5.67e-06,0.00151,0.0562,0.619,161.856,150373,,,,,High,Low,Low,Medium,Medium,Medium,7.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Gemini,,['Overdriven Guitar'],21,2014,0.347,0.985,-2.862,0.083,5.52e-05,0.0,0.256,0.403,163.728,145373,,,,,Medium,Low,Low,High,Low,Low,5.0,2.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Beginner']"
Death From Above 1979,White Is Red,['Jesse F. Keeler'],['Overdriven Guitar'],34,2014,0.552,0.886,-4.13,0.0662,0.00297,0.0408,0.0881,0.393,117.01,267840,,,,,Medium,Low,Low,Medium,Medium,Medium,7.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Virgins,,['Overdriven Guitar'],35,2014,0.308,0.954,-2.384,0.066,5.26e-05,0.0,0.145,0.5,90.475,188267,,,,,High,Low,Low,Low,Medium,Medium,7.0,3.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,The Physical World,['Jesse F. Keeler'],['Distortion Guitar'],24,2014,0.247,0.9,-4.718,0.124,0.000685,0.716,0.135,0.203,104.025,291413,,,,,Medium,Low,Low,Low,Medium,Medium,7.0,3.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Monstrosity,Vicious Mental Thirst,,['Distortion Guitar 8'],7,2001,0.276,0.948,-8.859,0.17,6.59e-06,0.0852,0.0763,0.168,116.66,258320,,,,,Low,Low,Low,Medium,High,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Poison The Well,The Realist,['w/dist'],['Distortion Guitar 6'],23,2003,0.277,0.92,-4.694,0.0844,4.66e-05,0.131,0.897,0.132,86.734,229973,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Impaled Nazarene,Goat Sodomy,['Raita 3'],['Distortion Guitar'],13,2006,0.134,0.964,-3.455,0.124,2.15e-06,0.934,0.0725,0.119,205.334,142245,,,,,Medium,Low,Low,Medium,Medium,High,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Vader,Carnal,,['Acoustic Guitar (nylon)'],18,2012,0.268,0.993,-4.845,0.289,0.000564,0.000654,0.0803,0.0502,122.856,129333,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Belphegor,The Goatchrist,,['Acoustic Guitar (nylon)'],22,2003,0.343,0.922,-4.188,0.074,1.5e-06,0.000298,0.179,0.0371,117.471,257293,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
The Bled,Spitshine Sonata,,['Distortion Guitar'],20,2007,0.466,0.922,-5.218,0.0491,0.000226,0.00139,0.448,0.317,83.317,210707,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
My,Tab 2,['Jay James'],['Electric Guitar (jazz)'],0,2022,0.608,0.491,-9.052,0.0974,0.198,0.0,0.249,0.335,139.9,125816,,,,,Medium,Low,Medium,Medium,Medium,Medium,7.0,,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Death From Above 1979,Holy Books,['Jesse F. Keeler'],['Distortion Guitar'],29,2017,0.305,0.871,-4.857,0.0444,8.29e-05,0.146,0.494,0.29,175.08,229174,,,,,High,Low,Medium,Medium,Medium,Medium,8.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Their They're There,End an End,,['Overdriven Guitar'],19,2013,0.324,0.903,-6.967,0.0769,0.000108,0.00125,0.102,0.218,123.404,242857,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Sacrilegious Impalement,Aletheia,,['Distortion Guitar'],0,2011,0.23,0.617,-12.456,0.0409,0.000183,0.00511,0.366,0.0427,110.212,240147,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Dirt Merchant,Money $hot,,['Distortion Guitar'],0,2019,0.449,0.978,-5.581,0.0809,3.19e-05,0.00108,0.119,0.708,166.967,186826,,,,,Medium,Low,Low,Low,Medium,Medium,5.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Inquisition,Desolate Funeral Chant,,['Distortion Guitar'],19,2011,0.315,0.608,-12.165,0.0804,0.000649,0.721,0.27,0.0667,122.899,425547,,,,,Low,Low,Low,Medium,Low,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Aephanemer,Rage And Forgiveness,,['Acoustic Guitar (steel)'],13,2016,0.372,0.938,-5.156,0.0992,0.000262,0.184,0.356,0.182,145.029,343035,,,,,Low,Low,Low,Medium,Low,High,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Advanced']"
Kings Of Leon,On Call,['MatthewFollowill'],['Electric Guitar (muted)'],57,2007,0.307,0.791,-5.408,0.119,0.0285,0.000804,0.395,0.141,193.356,201800,['CalebFollowill'],['JaredFollowill'],['NathanFollowill'],[],Medium,Low,Medium,Medium,Medium,Low,5.0,5.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Chopin,Funeral March,['Track 5'],['Distortion Guitar'],41,1992,0.311,0.00326,-24.979,0.0614,0.993,0.949,0.0803,0.0656,66.356,506893,,,,,Low,High,Low,Medium,Medium,Medium,0.0,1.0,,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Breakdown Of Sanity,Crumble,,"['Distortion Guitar', 'Guitarra 1']",37,2013,0.209,0.984,-2.161,0.168,3.5e-05,0.764,0.111,0.131,139.968,200120,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Suicide Silence,Lifted,['Track 5'],['Distortion Guitar'],35,2009,0.295,0.992,-3.026,0.156,1.81e-05,0.395,0.0736,0.129,110.913,247960,"['MitchLucker(1984-2012)', 'EddieHermida']",['DanielKenny'],[],[],Low,Low,Low,Medium,Medium,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
D'espairsRay,Angeldust,['Karyu'],"['Guitar 1', 'Distortion Guitar']",11,2007,0.377,0.801,-4.344,0.0627,1.24e-05,0.0469,0.0561,0.261,142.025,259413,,,,,Medium,Low,Medium,High,Medium,High,6.0,6.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
D'espairsRay,Kaleidoscope,['Karyu'],"['Guitar 2', 'Distortion Guitar']",12,2007,0.356,0.838,-2.27,0.0452,3.8e-06,5.08e-05,0.38,0.417,105.984,293360,,,,,Low,Low,Medium,Medium,Medium,Medium,3.0,5.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Jesu,Silver,,['Overdriven Guitar 1'],30,2006,0.263,0.432,-6.299,0.0375,3.23e-06,0.81,0.0889,0.195,94.878,406227,,,,,Low,Low,Medium,Medium,Medium,Medium,3.0,,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Ozzy Osbourne,Black Rain,['Rhy. Gtr. 1'],['Distortion Guitar'],39,2007,0.539,0.874,-5.653,0.0484,0.0114,0.0,0.357,0.428,116.934,282413,,,,,Low,Low,Low,Medium,High,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
Suicide Silence,Girl Of Glass,['Spur 1'],['Distortion Guitar'],33,2008,0.337,0.982,-3.926,0.134,4.69e-06,0.553,0.371,0.47,108.926,172613,"['MitchLucker(1984-2012)', 'EddieHermida']",['DanielKenny'],[],[],Medium,Low,Medium,Medium,Medium,Medium,5.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Suicide Silence,Distorted Thought Of Addiction,"['MarkHeylmun', 'ChrisGarza']","['Overdriven Guitar', 'Guitar 1']",25,2014,0.27,0.992,-4.45,0.164,2.04e-05,0.692,0.673,0.104,125.128,238162,"['MitchLucker(1984-2012)', 'EddieHermida']",['DanielKenny'],[],[],Medium,Low,Low,Low,Low,Medium,5.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Suicide Silence,Eyes Sewn Shut,['GTR2'],['Distortion Guitar'],32,2008,0.382,0.984,-3.825,0.0737,3.28e-06,0.747,0.3,0.532,110.379,178707,"['MitchLucker(1984-2012)', 'EddieHermida']",['DanielKenny'],[],[],Medium,Low,Low,Medium,Medium,High,5.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Slipknot,Yen,['Mick Thomson'],['Distortion Guitar'],71,2022,0.568,0.934,-4.428,0.107,0.000885,0.0297,0.36,0.319,137.005,285316,['SidWilson'],"['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']",Low,Low,Low,Medium,Medium,Medium,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
