Band,Song,Player,Technique,Difficulty,Score
Like Moths To Flames,The Blackout,Right Rhythm,['Distortion Guitar'],Beginner,2/8
Like Moths To Flames,Do Not Resuscitate,nan,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,You'll Burn,nan,['Distortion Guitar'],Beginner,2/8
Like Moths To Flames,Habitual Decline,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Like Moths To Flames,A Servant Of Plague,Rhythm,['Overdriven Guitar'],Intermediate,4/8
Like Moths To Flames,Praise Feeder,nan,['Distortion Guitar'],Beginner,2/8
Like Moths To Flames,What's Done Is Done,nan,['Distortion Guitar'],Intermediate,3/8
Abstract Dissonance,Eternal Torment,nan,['Distortion Guitar'],Intermediate,5/8
In Flames, House,Bjorn,['Distortion Guitar'],Beginner,2/8
Black Winter,Callous,Track 3,['Distortion Guitar'],Advanced,8/8
Black Winter,Slip,Track 3,['Distortion Guitar'],Advanced,8/8
I Prevail,Chaos,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Alloytuber,Aftermath Of The Afterlife,Rhythm (left),['Distortion Guitar'],Intermediate,3/8
Wind Rose,Gates Of Ekrund,Claudio Falconcini,['Distortion Guitar'],Beginner,2/8
Asking Alexandria,Alone Again,nan,['Distortion Guitar'],Intermediate,3/8
Glint,test 1,nan,['Distortion Guitar 1'],Intermediate,4/8
Nurié,seiten ni hoeru,nan,['Distortion Guitar'],Intermediate,3/8
Eonia,At The End Of Your Life,LABS (64 Bit),['Electric Guitar (clean) 1'],Intermediate,3/8
Fredguitarist,Collection of Riffs by Fred,Fred (Baritone A#),['Distortion Guitar'],Intermediate,4/8
Deathkite,Survival of the Cruelest,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Parasitic Ejaculation,Slow Torture Chamber,nan,['Distortion Guitar 2'],Intermediate,4/8
Motionless In White,Headache,"Ricky ""Horror"" Olson","['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
In Flames,Burn,nan,"['Distortion Guitar', 'Rythm Guitar']",Intermediate,4/8
Ben Mason,Synth Solo,nan,['Distortion Guitar 2'],Intermediate,3/8
Portrayal Of Guilt,The Sixth Circle,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Long Term Memory,Scorn,nan,['Distortion Guitar'],Intermediate,3/8
Out Of My Eyes,GOLDON,nan,['Distortion Guitar'],Intermediate,3/8
Out Of My Eyes,Blue Cloud,nan,"['Distortion Guitar', 'Distortion Rythm 2 Guitar']",Intermediate,3/8
Bullet For My Valentine,The Poison But Lower And More Lead,Zweite Stimme,['Distortion Guitar'],Intermediate,3/8
Tbt,Selfish Creatures,Rhythm,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flame,Ameliorate,nan,['Distortion Guitar'],Intermediate,4/8
Skeletorus,The Storm Of Shards,nan,"['Distortion Guitar', 'Electric Guitar (clean)']",Intermediate,4/8
Forged In Ice,Alloy_TUBER,nan,['Distortion Guitar 2'],Intermediate,3/8
We Came As Romans,Black Hole,nan,['Distortion Guitar'],Intermediate,3/8
Silverstein,Ultraviolet,LEAD GTR 2,['Overdriven Guitar'],Intermediate,3/8
Razor,akaku chirabaru hana,nan,['Distortion Guitar'],Intermediate,3/8
Acid Bath,Venus Blue,Track 2,['Distortion Guitar'],Intermediate,3/8
Draft Shit,shit,nan,['Distortion Guitar 1'],Intermediate,3/8
To The Garve,The Screams of the widow's Son,Pista 1,['Distortion Guitar'],Intermediate,3/8
Ismail,Of Flesh,Dan,['Electric Guitar (clean)'],Intermediate,3/8
.44 Caliber Love Letter,Idea#1,Pasha Rhythm,['Distortion Guitar'],Advanced,8/8
Gazette,DAKU,URUHA,['Distortion Guitar'],Intermediate,3/8
Coldrain,See You,gtr rhy,['Distortion Guitar'],Intermediate,3/8
Static-X,Set It Off,Wayne Static,['Distortion Guitar'],Intermediate,3/8
Bring Me The Horizon,Can You Feel my Heart,John Jones,['Distortion Guitar'],Beginner,2/8
My Anarchist Angel,nya?,nan,['Distortion Guitar 2'],Intermediate,3/8
Falling In Reverse,Zombified,Rhythm R,['Distortion Guitar'],Intermediate,3/8
Ingvar,The Ghost Of Kyiv,nan,['Distortion Guitar 2'],Intermediate,3/8
Hypocrisy,Chemical Whore,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Corprus,Diseased,nan,['Distortion Guitar'],Intermediate,3/8
Corprus,Witch Eater,nan,['Distortion Guitar'],Intermediate,3/8
Anal Destroyer,SLAM,nan,['Distortion Guitar'],Intermediate,5/8
Muth,Aeons Black,Daniel Dlimi,['Distortion Guitar'],Intermediate,5/8
Hypocrisy,Children Of The Gray,nan,['Distortion Guitar'],Intermediate,3/8
Hua,sass,nan,"['Distortion Guitar', 'Rhythm Guitar ']",Intermediate,4/8
Bad Omens,Glass Houses,nan,['Distortion Guitar'],Intermediate,3/8
Ben Mason,No Right,nan,"['Distortion Guitar', 'Guitar R']",Intermediate,3/8
Gh,asas,nan,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,4/8
Gh,fgh,Federico Zuccarelli,['Distortion Guitar'],Intermediate,4/8
Toadstool,Riff 1,nan,['Distortion Guitar'],Intermediate,4/8
Soi,DIEKATAKOMBEN,nan,"['Overdriven Guitar', 'Guitar 2']",Advanced,7/8
Soi,DERHORRORMITTENDRIN,nan,"['Distortion Guitar', 'Guitar 3']",Intermediate,3/8
Soi,DIERÜCKKEHR,nan,"['Distortion Guitar', 'Guitar 1']",Advanced,8/8
Soi,WIRSTEIGENAB,nan,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
Destruction Of The Healer,Obsessed,Right Clean,['Electric Guitar (clean)'],Intermediate,4/8
34yh34,h34h34h3,nan,['Distortion Guitar 2'],Intermediate,3/8
Attack On Titan,The Rubmling - Attack on Titan Final Season Part 2,Lead,['Electric Guitar (clean)'],Intermediate,3/8
J7y5yh5,645hb675hn,nan,['Distortion Guitar'],Intermediate,3/8
Grg4g4g34,34gg343g443g,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
G323g24g23,g3g32g3g3g,nan,['Distortion Guitar 1'],Intermediate,4/8
Bt4g53g,g43g344g3,nan,['Distortion Guitar 2'],Intermediate,4/8
4f34f34f3f434f,34f34f34f3f4f3f43f43f4,Track 2,['Distortion Guitar'],Intermediate,3/8
32t4tg4g34g3,g3434g34g34g34g34g,Track 2,['Distortion Guitar'],Intermediate,3/8
6g346g346g,346g34g6346g34,nan,['Distortion Guitar'],Intermediate,4/8
Bb1b5121b251,25b125b255b125b,Track 2,['Distortion Guitar'],Intermediate,3/8
G345g465h546h,1241241241241241242g23g23g1,Track 2,['Distortion Guitar'],Intermediate,3/8
5 B1212,5b125b12b512,nan,['Distortion Guitar'],Intermediate,4/8
24b1n251,2b512b512b5,nan,['Distortion Guitar'],Intermediate,4/8
82398v1283vu12803v12,v41309uv09u,nan,['Distortion Guitar'],Intermediate,4/8
Guitar Riff Ideas,Drop A# Riff Ideas,nan,['Distortion Guitar'],Intermediate,5/8
For All I Want,Recuerdos de una Noche,nan,"['Overdriven Guitar', 'Guitarra II']",Beginner,2/8
Mud Creek,Tear Me Down,nan,['Distortion Guitar 1'],Intermediate,3/8
Wage War,Death Roll,nan,['Distortion Guitar'],Intermediate,4/8
Breaking Benjamin,Feed the Wolf,nan,"['Electric Guitar (clean)', 'Rhythm Guitar']",Intermediate,3/8
Northlane,Impulse,nan,['Electric Guitar (clean)'],Intermediate,3/8
The Gentle Men,I Am Truth,nan,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
"Tom Morello, Bring Me The Horizon",Let's Get The Party Started,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Fng,Embryo Cytoplasmic Fragmentation,nan,['Distortion Guitar'],Intermediate,3/8
From Ashes To New,Panic,nan,['Distortion Guitar'],Intermediate,3/8
Sangheilis,Le fendoir3,Math,['Distortion Guitar'],Intermediate,3/8
Crystal Lake,Into the Great Beyond,Clean Rhythm,['Acoustic Guitar (steel)'],Intermediate,3/8
Sangheilis,Le fendoir2,Math,['Distortion Guitar'],Intermediate,3/8
We Hunt Buffalo,Heavy Low,nan,['Overdriven Guitar 2'],Intermediate,3/8
Sangheilis,Fend,Math,['Distortion Guitar'],Intermediate,3/8
Sangheilis,The death lord,Guit 1,['Distortion Guitar 2'],Intermediate,3/8
Sangheilis,Wololo,Piste 4,['Guitar harmonics 3'],Intermediate,4/8
Tbt,Time,Lead,['Distortion Guitar'],Intermediate,3/8
Gazette,ROLLIN',URUHA Crunch,['Overdriven Guitar'],Intermediate,3/8
Efe Karatoprak,Grindcore Song #1,nan,['Distortion Guitar'],Intermediate,3/8
Anakinkindadumb,my goodbyes,nan,['Distortion Guitar 1'],Intermediate,3/8
Destruction Of The Healer,Crocodile Tears,nan,['Distortion Guitar 1'],Intermediate,3/8
Metallica,FULL METALLICA MEDLEY,nan,"['Distortion Guitar', 'Drop A# Guitar']",Intermediate,4/8
Parkway Drive,Set To Destroy,Jeff Ling,['Acoustic Guitar (steel)'],Intermediate,4/8
Kira,retardedidea,nan,['Distortion Guitar'],Advanced,8/8
Tsubaki,Flandre Will Be None,Lead,['Distortion Guitar 1'],Intermediate,4/8
We Came As Romans,wasted age,nan,"['Overdriven Guitar 2', 'Rhythm Guitar']",Intermediate,3/8
Like Moths To Flames,The Anatomy Of Evil,Intro,['Distortion Guitar'],Intermediate,4/8
Bac,gbac,Rhythm 2,['Distortion Guitar'],Intermediate,3/8
Gliese,Origen,Juan Clean,['Electric Guitar (clean)'],Intermediate,3/8
Beartooth,Burnout,LEAD,['Distortion Guitar'],Beginner,2/8
Shadow Of Intent,The Heretic Prevails,Chris Wiseman,['Distortion Guitar'],Intermediate,4/8
Hands Down,Hardships,Track 4,['Distortion Guitar'],Intermediate,4/8
Eonia,Paths,Right,['Distortion Guitar'],Intermediate,3/8
August Burns Red,Three Fountains,nan,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,3/8
August Burns Red,Ties That Bind,nan,"['Electric Guitar (clean)', 'Guitar 4']",Intermediate,3/8
August Burns Red,Dismembered Memory,nan,"['Electric Guitar (clean)', 'Guitar 4']",Beginner,2/8
August Burns Red,Bones,nan,"['Electric Guitar (clean)', 'Guitar 3']",Intermediate,3/8
August Burns Red,Empty Heaven,nan,"['Electric Guitar (clean)', 'Guitar 2']",Intermediate,4/8
Pendulum,self vs self v3,Raita 1,['Distortion Guitar'],Intermediate,3/8
Eonia,Loss,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Dezert,Sister,nan,['Distortion Guitar'],Intermediate,3/8
Eonia,Intro,Clean,['Distortion Guitar'],Intermediate,3/8
Eonia,In Memoriam,nan,['Distortion Guitar 4'],Intermediate,3/8
Eonia,Recollection,Harmony/Lofi,['Distortion Guitar'],Advanced,7/8
The Raven Age,No mans land solo,Harmony,['Overdriven Guitar'],Intermediate,4/8
Justice For The Damned,"No Brother, No Friend",Pitch Shift Gtr,['Distortion Guitar'],Intermediate,3/8
Eonia,Departure,Harmony,['Distortion Guitar'],Intermediate,4/8
Cbp,2077,nan,['Distortion Guitar'],Advanced,7/8
Shinigiwa Satellite,Kousei Salvation,RHYTHM,['Distortion Guitar'],Intermediate,3/8
Powerwolf,Sermon of Swords,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Paraphrase,Maladaptive,nan,['Distortion Guitar 2'],Intermediate,3/8
Destruction Of The Healer,Sacrifice,Clean Left,['Electric Guitar (clean)'],Intermediate,3/8
Bring Me The Horizon,Evolution of BMTH Breakdowns,nan,"['Distortion Guitar', 'Drop A# Guitar']",Intermediate,4/8
Muth,иινу a#,mike hunt,['Distortion Guitar'],Intermediate,4/8
Afsa Fasf,as fasf asfas,nan,['Distortion Guitar'],Intermediate,3/8
Bogg,Wicked Riffages 2 - Skyline,Distortion 2,['Distortion Guitar'],Intermediate,3/8
Muth,a living sharp dead,rhythm,['Distortion Guitar 2'],Intermediate,3/8
Utsu-P,Painting,Rhythm,['Distortion Guitar'],Intermediate,3/8
Judson,Escape,nan,"['Distortion Guitar 2', 'Guitar 1']",Beginner,2/8
August Burns Red,1/16/2011,Delay Effect,['Electric Guitar (clean)'],Beginner,2/8
Parkway Drive,Wild Eyes Standard Bass,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Hoodini,birth of de gruel,Jim Root,['Distortion Guitar'],Intermediate,3/8
Parkway Drive,The Greatest Fear,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Petr Válek,TEST,david,['Distortion Guitar'],Beginner,2/8
Noddy,12,nan,['Distortion Guitar 1'],Beginner,2/8
Untitled,wt1642_introdemo,nan,['Distortion Guitar'],Intermediate,4/8
Slipknot,The Dying Song   [Guitars Only],Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Lithium,Screaming Me,Tom,['Electric Guitar (clean)'],Beginner,2/8
Untitled,dlu_wt_riffs_TEST,nan,['Distortion Guitar'],Beginner,2/8
Mayu Maeshima,No Man's Dawn,nan,['Distortion Guitar'],Beginner,2/8
I Prevail,Pull The Plug,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Yehovan,Hc2,nan,"['Distortion Guitar', 'Electric Guitar 2']",Beginner,2/8
Skillet,Dominion,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Orbit Culture,Mirrorslave,Left,['Distortion Guitar'],Beginner,2/8
Orbit Culture,Open Eye,Rhythm Right,['Distortion Guitar'],Intermediate,4/8
Untitled,WT_139_Test,nan,['Distortion Guitar'],Beginner,2/8
My Perfect Sin,Na kray zemli,Гитара 3,['Distortion Guitar'],Beginner,2/8
Vlad I Vadim,Roots,Vestnik smerti,['Distortion Guitar'],Intermediate,3/8
Slipknot,The Dying Song,Mick Thomson #7,['Distortion Guitar'],Intermediate,3/8
Fractal Eater,CORPse,nan,['Distortion Guitar'],Intermediate,3/8
Bleed From Within,The End Of All We Know,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,5/8
Frozen Eddie,Where Do We Stand?,nan,"['Distortion Guitar', 'Guitar (Tom)']",Intermediate,3/8
Isaac Restrepo,Redeem Thy SIn,nan,"['Distortion Guitar', 'Guitar part 2']",Intermediate,4/8
Machine Head,UnhallØwed,nan,['Distortion Guitar 2'],Advanced,6/8
Cameron Riggenbach,Exercises,nan,"['Distortion Guitar', 'Electric Guitar (Distortion)']",Intermediate,3/8
Motionless In White,Broadcasting From Beyond the Grave: Death Inc.,Ryan,['Distortion Guitar'],Beginner,2/8
Srbrenoob,Dançar na Chuva,nan,['Distortion Guitar'],Beginner,2/8
Machine Head,new resistense,nan,['Distortion Guitar 3'],Beginner,2/8
I Prevail,One More Time,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Untitled,SpStyl3,nan,['Distortion Guitar'],Intermediate,4/8
Damageplan,Dime Solo,Dime,['Distortion Guitar'],Advanced,8/8
Fernandinho,Dançar na Chuva,nan,['Distortion Guitar'],Beginner,2/8
Uverworld,Colors of the Heart Ver.2,nan,"['Electric Guitar (clean)', 'Katsuya Clean Guitar']",Beginner,2/8
Untitled,1313ScheißRiff,nan,['Distortion Guitar'],Intermediate,4/8
I Prevail,One More Time,Dylan Bowman,['Distortion Guitar'],Beginner,2/8
Parkway Drive,Glitch,nan,['Distortion Guitar 1'],Intermediate,3/8
Untitled,WT1945,nan,['Distortion Guitar'],Beginner,2/8
Kapn1232,kapn4848,GTR_HRM,['Distortion Guitar'],Advanced,8/8
August Burns Red,Invisible Enemy drums,nan,"['Distortion Guitar', 'Guitar B']",Intermediate,3/8
Untitled,WT5314,nan,['Distortion Guitar'],Beginner,2/8
Slipknot,SICCCCC,Josh Brainard #4,['Distortion Guitar'],Intermediate,3/8
Disfigured Elegance,The Last Disease,nan,"['Distortion Guitar', 'Right Guitar']",Intermediate,4/8
Synqqq Feat,fit3,nan,['Distortion Guitar 1'],Advanced,7/8
Silverstein,Our Song,nan,['Overdriven Guitar'],Beginner,2/8
Damageplan,Wake Up,Dime Lead,['Distortion Guitar'],Intermediate,3/8
Blood Laced Misery,Untitled 30,nan,['Overdriven Guitar'],Advanced,8/8
Shredagge,Autumn Of My Steps,nan,['Distortion Guitar'],Beginner,2/8
Metallica,Master of puppets,Extras,['Distortion Guitar'],Beginner,2/8
I Prevail,Scars,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
I Prevail,Pull The Plug,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Arc Systems Works,Love the Subhuman Self,nan,['Distortion Guitar'],Intermediate,4/8
Xy Jay,The Garden Of Eden,nan,['Distortion Guitar'],Intermediate,3/8
Deftones,Rocket Skates Drop B,Pista 1,['Distortion Guitar'],Intermediate,4/8
Braille,The Dreadman,nan,['Overdriven Guitar'],Intermediate,3/8
Electriccover,WITD,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Slipknot,Vendetta,Jim Root #4,['Distortion Guitar'],Intermediate,4/8
Pathaway,"I Am Not Your Daughter, I Am Not Your Son",nan,['Distortion Guitar 2'],Intermediate,3/8
Untitled,WT_827 Gui & Drm,nan,['Distortion Guitar'],Intermediate,4/8
Pathaway,Only The Beginning,nan,"['Electric Guitar (jazz) 1', 'Jazz Guitar']",Intermediate,4/8
Untitled,WT1512,nan,['Distortion Guitar'],Intermediate,3/8
Xy Jay,What Lies Beyond Strength,nan,['Distortion Guitar'],Intermediate,5/8
Bleed From Within,Levitate,Rhythm L,['Distortion Guitar'],Intermediate,4/8
Bleed From Within,I Am Damnation,Clean,['Distortion Guitar'],Beginner,2/8
Mick Thomson,2000 Soundcheck Riff,Mick Thomson,['Distortion Guitar'],Beginner,2/8
Untitled,Wt1839,nan,['Overdriven Guitar'],Advanced,8/8
Untitled,StrangeMusik4,nan,['Distortion Guitar'],Intermediate,3/8
Pocuc I Luk,pesma2,nan,['Distortion Guitar'],Intermediate,3/8
Uverworld,No.1 V2,nan,['Distortion Guitar'],Intermediate,3/8
I The Mighty,Lady of Death,nan,"['Distortion Guitar', 'Drive Guitar 1']",Intermediate,3/8
Acid Witch,Turntable Terror,Rythym,['Distortion Guitar'],Intermediate,3/8
Acid Witch,Swamp Spells,nan,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,3/8
Acid Witch,Nain Rouge The Red Dwarf,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Acid Witch,Live Forever,Rythym,['Distortion Guitar'],Intermediate,3/8
Acid Witch,Cauldron Cave,Lead,['Distortion Guitar'],Intermediate,3/8
Slipknot,Solway Firth,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Petr Válek,Scratch,petr,['Distortion Guitar'],Intermediate,3/8
Slipknot,Nero Forte,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slayer,Pride In Prejudice,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Slipknot,Unsainted,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slipknot,All Out Life,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Untitled,Cool Piano,nan,['Distortion Guitar'],Advanced,8/8
Untitled,TriolTest940,nan,['Distortion Guitar'],Intermediate,3/8
Untitled,StrangeMusik3,nan,"['Distortion Guitar', 'Distortion Guitar #2']",Intermediate,3/8
Lmc,Car Dependency,nan,['Distortion Guitar 1'],Intermediate,3/8
Slipknot,The Negative One,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Slipknot,Custer,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Rammstein,Angst,Richard Kruspe,['Distortion Guitar'],Intermediate,3/8
Mud Creek,Scissos,nan,['Distortion Guitar'],Intermediate,3/8
Slipknot,Killpop,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Untitled,wt1218,nan,"['Electric Guitar (clean)', 'Clean Guitar 2']",Intermediate,3/8
Elften,I Never Wanted,Cesar,['Distortion Guitar'],Intermediate,4/8
Slipknot,AOV,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Broken Vengeance,True Colors,nan,['Distortion Guitar'],Intermediate,3/8
Anocreate,{end},nan,['Distortion Guitar 2'],Intermediate,3/8
Slipknot,All Hope Is Gone,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Untitled,Pyanye_Razborki,nan,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Purification,Distortion Sol,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Dark,Distortion Sağ,['Distortion Guitar'],Intermediate,3/8
Seba & The Homeless,Trzeci,ZWOL,['Distortion Guitar'],Intermediate,3/8
Faded Away,ltrackw,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Faded Away,Control,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Mayu Maeshima,Answer,nan,['Distortion Guitar'],Intermediate,3/8
Xy Jay,Spirit Bomba,nan,['Distortion Guitar'],Intermediate,5/8
Untitled,SP_Test1002,nan,['Distortion Guitar'],Intermediate,3/8
Db,mtlcore,nan,['Distortion Guitar 2'],Intermediate,5/8
Luka Nikolic,riff1,nan,['Distortion Guitar'],Intermediate,3/8
Change Of Loyalty,A Perfect Dream Pt.2,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Losthills,White Rabbit,nan,['Distortion Guitar'],Intermediate,4/8
Braille,Incendio,Marko,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Tunnel,Clean Tremolo,['Overdriven Guitar'],Intermediate,3/8
Creatures Of Furkahn,Dark City,Lead,['Distortion Guitar'],Intermediate,3/8
Profiler,Ninety Three,nan,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
Emille's Moonlight Serenade,RED RIBBON,Harmony,['Distortion Guitar'],Intermediate,3/8
Beyond The Grave,Draped In Black,nan,['Distortion Guitar 2'],Advanced,7/8
Motionless In White,Fatal,Ricky Olson,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
Skillet,Fire And Fury,nan,['Distortion Guitar'],Intermediate,3/8
Skillet,Falling In the Black,nan,"['Overdriven Guitar', 'Guitar Add. #3']",Intermediate,3/8
Skillet,Comatose Live,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Skillet,Better Than Drugs,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Silence In The Summer,Thrown To Perish,alexey 0 pesen,['Distortion Guitar'],Intermediate,3/8
Moonfly,Fellhorn,nan,"['Acoustic Guitar (steel) 1', 'Steel Guitar']",Intermediate,4/8
435n345345n6,345345n345,5454,['Distortion Guitar'],Intermediate,3/8
5t345t,rt4b34tn345,Fajjz,['Distortion Guitar'],Intermediate,3/8
456yhnn65y,4n567n567,nan,['Distortion Guitar 1'],Intermediate,3/8
Three Days Grace,Redemption,nan,['Distortion Guitar'],Intermediate,3/8
Slipknot,Snuff,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Elften,Deep Weaving Aperture,Ulises 2,['Overdriven Guitar'],Intermediate,5/8
Motionless In White,Slaughterhouse,nan,['Distortion Guitar'],Intermediate,3/8
Braille,bread,Track 2,['Distortion Guitar'],Intermediate,4/8
Slipknot,Vendetta,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slipknot,Dead Memories,Jim Root (#4,['Electric Guitar (clean)'],Intermediate,3/8
Slipknot,Dead Memories,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slipknot,The Nameless,Mick Thomson (#7),['Distortion Guitar'],Intermediate,4/8
Grimwind,Kayvaan Shrike,Track 5,['Distortion Guitar'],Intermediate,3/8
Bring Me The Horizon,Pray For Plagues,nan,"['Distortion Guitar', 'Guitar (Left)']",Intermediate,4/8
Mechanical Man (Ivey),Rollerkoaster Bounce,nan,"['Distortion Guitar', 'Guitarraso']",Intermediate,3/8
O-Яangeя,Peas and Tank U,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Seba & The Homeless,3.,ZWOL,['Distortion Guitar'],Intermediate,3/8
Seba & The Homeless,3.,OLEK,['Distortion Guitar'],Intermediate,3/8
Seba & The Homeless,Trzeci,OLEK,['Distortion Guitar'],Intermediate,3/8
Deadwater Drowning,Getting Sentimental On That Ass,nan,"['Distortion Guitar', 'Guitar R']",Intermediate,5/8
Bring Me The Horizon,Pray For Plagues,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Endthisday,Cursed Be The Blessed,nan,"['Distortion Guitar', 'Guitar L']",Intermediate,4/8
Slipknot,The Blister Exist,Jim Root #4,['Distortion Guitar'],Intermediate,3/8
Silence Dead,Дыхание сердец,nan,['Distortion Guitar'],Intermediate,3/8
Cages For Preachers,Cages for Preachers,Kai Clean,['Electric Guitar (clean)'],Intermediate,3/8
Reality Spill,Fiesta,MATTHIJS,['Distortion Guitar'],Beginner,2/8
Slipknot,The Chapeltown Rag,Jim Root #4,['Distortion Guitar'],Intermediate,4/8
Slipknot,Sulfur,Mick Thomson #7,['Distortion Guitar'],Intermediate,3/8
Untitled,TraurigeMensche_DemoTest,nan,"['Distortion Guitar', 'Solo Guitar']",Intermediate,3/8
Architects,when we were young,nan,"['Distortion Guitar', 'Dist. Guitar(Right)']",Intermediate,4/8
Rammstein,Dicke Titten,nan,['Distortion Guitar'],Intermediate,3/8
Rammstein,Angst,Richard Kruspe,['Distortion Guitar'],Intermediate,3/8
With Life In Mind,Our Endless Existence,nan,['Distortion Guitar 2'],Intermediate,3/8
Drunad,Puzdreanuzo,nan,['Distortion Guitar 1'],Intermediate,4/8
Shredagge,Hatred.Fear.Murder,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Pathaway,Never Again,nan,['Distortion Guitar 2'],Advanced,7/8
Mastodon,One more round the sun,nan,"['Distortion Guitar', 'Rhythm Guitar 2']",Beginner,2/8
Dd,dd chant,Track 4,['Overdriven Guitar 1'],Intermediate,3/8
Austins Demos,Song 1,nan,"['Acoustic Guitar (steel)', 'Acoustic Guitar 1']",Beginner,2/8
Hiddebthing,QDWAEFGSRDHG,nan,['Distortion Guitar 1'],Beginner,2/8
Ben Mason - School,Mortal,nan,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Mushmellow,The Way You Look at Me,Track 5,['Distortion Guitar'],Beginner,2/8
Mushmellow,Loser,Track 4,['Electric Guitar (clean)'],Beginner,2/8
Lucydream,Shining Knight,nan,"['Distortion Guitar', 'Bass Guitar']",Intermediate,4/8
Watermetal,наваливание нулей в drop C,соляки пилить,['Distortion Guitar'],Intermediate,4/8
Its Always You,Local Milfs Wanted,nan,['Distortion Guitar'],Intermediate,3/8
Menel,Sniper Monke II,Toro,['Distortion Guitar'],Intermediate,4/8
Efe Karatoprak,Hardcore Song #25,nan,['Distortion Guitar 1'],Intermediate,3/8
Soulstorm,GG song,nan,['Distortion Guitar'],Intermediate,3/8
Valaskes,Про балтику 9,Track 3,['Distortion Guitar'],Intermediate,3/8
End The Sorrow,Slaying You in your Nightmares,nan,"['Distortion Guitar', 'Luke Brown Rythm Guitar']",Intermediate,4/8
As Blood Runs Black,Diamond's Aren't Forever,gtr 2,['Overdriven Guitar'],Intermediate,5/8
As Blood Runs Black,Instintc,Left Rhythm,['Distortion Guitar'],Intermediate,3/8
Watermetal,ТЫ КАКУЮ ГРУППЫ УВАЖАЕШЬ METAL VERSION,ТЫ КАКУЮ ГРУППЫ УВАЖА,['Distortion Guitar'],Beginner,2/8
Falling In Reverse,Guillotine IV,nan,['Distortion Guitar'],Intermediate,4/8
Scars On Broadway,You destroy you,nan,"['Acoustic Guitar (steel)', 'Guitar II']",Beginner,2/8
