Band,Song,Guitarist,Technique,Difficulty,Score,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Energy_Mean_Drums_N,Energy_Mean_Piano_N,Energy_Mean_Bass_N,Energy_std_Drums_N,Energy_std_Piano_N,Energy_std_Bass_N,BPM_Mean_Drums_N,BPM_Mean_Piano_N,BPM_Mean_Bass_N,BPM_std_Drums_N,BPM_std_Piano_N,BPM_std_Bass_N,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Combine_Energy_BPM_Drums,Combine_Energy_BPM_Piano,Combine_Energy_BPM_Bass,Difficulty_Level_Drums,Difficulty_Level_Piano,Difficulty_Level_Bass,Quantity_Relevance_Drums,Quantity_Relevance_Bass,Quantity_Relevance_Piano,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
My Chemical Romance,Na Na Na,['Ray Toro'],['Distortion Guitar'],Beginner,2/8,70,2010,0.411,0.986,-2.522,0.0583,0.000264,0.00148,0.371,0.649,165.981,205960,"['GerardWay', 'JamesDewees']",['MikeyWay'],"['BobBryar', 'MattPelissier']",[],0.5137490701599757,0.0003159745146402,0.0685853544484395,0.3510040528245017,9.213480374580548e-05,0.0563630024389207,0.7003225153418874,0.8403944503520924,0.5439232850176353,0.5210330080637006,0.6755623144759921,0.19733804732304,Medium,Low,Low,High,High,Medium,Medium-High,Low-High,Low-Medium,Advanced,Advanced,Intermidiate,0.5210436817038293,0.0695591830105877,0.0003204609681949,5.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
Oasis,Don't Look Back In Anger,['Noel Gallagher'],['Distortion Guitar'],Intermediate,3/8,72,1995,0.328,0.936,-3.254,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,289560,['LiamGallagher'],['PaulMcGuigan'],['TonyMcCarroll'],[],0.1448955650460477,0.0187415103940108,0.0577680854598252,0.0857990719408963,0.0089004421027471,0.0523304958490631,0.3485367422420483,0.5770412326794998,0.61205340635409,0.0257568849410811,0.1667723802593668,0.1693901588680706,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.1548029541090253,0.0617180400211808,0.0200229811901824,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Carcass,Heartwork,['Michael Amott'],['Distortion Guitar'],Intermediate,3/8,36,2016,0.201,0.995,-5.208,0.112,1.19e-06,0.0833,0.338,0.187,92.273,274320,,,,,0.2238845884216529,1.005365958665811e-06,0.0557327601564271,0.1893595942811581,4.668375692698867e-08,0.059362762476461,0.2012370102035598,0.2972803335444332,0.5441018765946771,0.1392473307962705,0.4060697913678672,0.1579500005857288,Low,Low,Low,Low,Low,Medium,Low-Low,Low-Low,Low-Medium,Beginner,Beginner,Intermidiate,0.2250096366046763,0.0560128242778162,1.0104180489103628e-06,2.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Type O Negative,Christian Woman,['Kenny'],"['Guitar 2', 'Distortion Guitar']",Intermediate,3/8,54,1993,0.285,0.619,-8.965,0.04,0.148,0.0243,0.22,0.131,90.019,538107,,,,,0.0840738398468803,0.0010671440358821,0.0403853806272237,0.0251677768287249,0.0002744430918158,0.0275318488477229,0.1884609580649196,0.6726613434677443,0.656827419740124,0.2823994765761664,0.4194283009316809,0.5588434297231776,Low,Low,Low,Low,High,Medium,Low-Low,Low-High,Low-Medium,Beginner,Advanced,Intermidiate,0.1358220352938292,0.0652429412394568,0.0017239806718613,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Entombed,Left Hand Path,,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8,46,1990,0.166,0.927,-8.797,0.0736,3.94e-06,0.651,0.344,0.219,131.984,399093,,,,,0.1891835294659105,1.80997022292036e-07,0.0542443415746273,0.1818383626212114,7.724432650403848e-09,0.0168269922310006,0.52320088981684,0.5907193448912261,0.5152690115400612,0.2299381053157221,0.433751094097144,0.0650487081089147,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2040814773095043,0.0585160103286163,1.9525029373466665e-07,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Paul Gilbert,Kate Is A Star,['Paul 2'],['Acoustic Guitar (nylon)'],Beginner,2/8,10,1998,0.404,0.639,-6.368,0.0307,0.0479,0.000138,0.315,0.173,139.9,294200,,,,,0.1095117372892345,0.0013070617568163,0.0692057447227363,0.0679356242946991,0.0003287586310337,0.1035865687005232,0.6172065078460774,0.2948871398797668,0.4838738027237961,0.3243926790150614,0.3751589870366761,0.1512256524558521,Low,Low,Low,Medium,Low,Medium,Low-Medium,Low-Low,Low-Medium,Intermidiate,Beginner,Intermidiate,0.1713798705621824,0.1083031998790866,0.0020454800576156,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
HIM,Gone With The Sin,,['Overdriven Guitar'],Beginner,1/8,37,2014,0.601,0.458,-8.931,0.0256,0.206,0.0075,0.093,0.154,91.807,261611,,,,,0.2036312046352203,1.885215507630861e-06,0.404825146288008,0.1002242969136335,2.371767383586279e-07,0.6017107413299905,0.2942223390628052,0.4197331399544311,0.3346128082381846,0.0,0.3969140802855847,0.2735117208475625,Low,Low,Medium,Low,Medium,Medium,Low-Low,Low-Medium,Medium-Medium,Beginner,Intermidiate,Intermidiate,0.444609617107468,0.8838976993187948,4.116191064696203e-06,4.0,9.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Alejandro Silva,Free Fall,['pitch'],['Distortion Guitar'],Beginner,1/8,9,2002,0.289,0.724,-6.611,0.0503,0.0195,0.569,0.31,0.353,144.205,220795,,,,,0.1723721949469071,3.4865784083401738e-06,0.0509049934675062,0.0757696726070094,1.2458464323843589e-07,0.0596725900417106,0.0671535037585251,0.2733892822678358,0.5207256135784398,0.4039646844959961,0.5330124719956402,0.2197726080404074,Low,Low,Low,Low,Low,Medium,Low-Low,Low-Low,Low-Medium,Beginner,Beginner,Intermidiate,0.2380831421918607,0.0703107644578816,4.815716033619025e-06,2.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Alejandro Silva,Omega,['pitch'],['Distortion Guitar'],Intermediate,4/8,8,2002,0.214,0.97,-4.505,0.115,8.71e-05,0.825,0.306,0.386,91.769,274546,,,,,0.2182092206167969,1.354535749018983e-05,0.1732857227051818,0.081244258500028,6.007427052641003e-07,0.1229018260226567,0.3504274479995318,0.7308670129248229,0.5326644958716877,0.4053909057022307,0.5284778080416352,0.0685959740228965,Low,Low,Low,Medium,High,Medium,Low-Medium,Low-High,Low-Medium,Intermidiate,Advanced,Intermidiate,0.2249579593987597,0.1786450749537957,1.396428607236065e-05,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Van Halen,Fire In The Hole,"['EddieVanHalen(1955-2020)', 'WolfgangVanHalen']","['Distortion Guitar', 'Guitar 1 (/w Trans Trem -2.5)']",Intermediate,3/8,28,1998,0.555,0.727,-7.192,0.0419,0.00549,0.047,0.0971,0.555,92.172,331627,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[],0.0708106650500183,2.9151497675731114e-06,0.0461127784647262,0.0414882527940536,2.5092941052235613e-07,0.0671811341847097,0.2046144629645913,0.4979862561858685,0.357819415401498,0.1161309984170018,0.5456959141849775,0.1228734471549912,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.0974011898899839,0.0634288562100774,4.009834618394927e-06,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
HIM,Venus Doom,['Lead'],['Electric Guitar (clean)'],Beginner,2/8,41,2007,0.364,0.902,-4.921,0.0688,0.00246,0.244,0.353,0.296,162.054,308360,,,,,0.3869098229106105,0.0002530511151757,0.3244976759542086,0.2360715555397428,1.7130632656068877e-05,0.1993670390233386,0.4782693277256024,0.6132273376352834,0.4364339041566137,0.4202485239699793,0.5007871445779191,0.1312590750639523,Medium,Low,Low,Medium,Medium,Medium,Medium-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.4289465885926945,0.3597535210135351,0.0002805444735872,4.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Buckethead,Baseball Furies,['Buckethead'],['Distortion Guitar'],Beginner,2/8,15,2009,0.619,0.831,-5.097,0.0403,0.000502,0.834,0.111,0.379,113.346,158627,,,,,0.2279015190209929,0.0010293431617428,0.1990813225999822,0.2144493343483932,8.126422435185048e-05,0.3340982482713737,0.3400153762765411,0.0509866657211347,0.5590990352616022,0.2771717957304025,0.4163950278006606,0.1898385909648429,Low,Low,Low,Medium,Low,Medium,Low-Medium,Low-Low,Low-Medium,Intermidiate,Beginner,Intermidiate,0.2742497220469229,0.2395683785800027,0.0012386800983668,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Dave Matthews Band,Space Between,['Baritone Gtr. 1'],['Electric Guitar (clean)'],Beginner,1/8,56,2001,0.406,0.73,-6.278,0.0315,0.0471,0.0,0.229,0.207,170.032,242000,,,,,0.0742832417692925,0.0001692978365187,0.0509042579281045,0.0378760881367164,2.50430092961779e-05,0.0341380640114702,0.5243059362083082,0.3663456991623238,0.6795242418179762,0.6103878298013843,0.5240173374081294,0.2113021235223814,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.1017578654373869,0.0697318601754856,0.0002319148445462,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
Depresszio,Utaz,['Nimrod'],['Distortion Guitar'],Intermediate,3/8,5,2013,0.481,0.981,-5.03,0.0538,6.28e-05,0.017,0.927,0.49,97.92,201107,,,,,0.0552955565529778,7.314759154242063e-09,0.0445691292154848,0.0635610521340724,3.1824403196793427e-10,0.0702176831211804,0.2171129664058794,0.4158775272014389,0.5547197520356467,0.0,0.2182659376591771,0.1825919564547244,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.0563665204413637,0.0454323437466715,7.456431349889973e-09,1.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
HIM,Death Is In Love With Us,['Linde'],['Distortion Guitar'],Beginner,2/8,31,2014,0.482,0.88,-5.615,0.0413,0.000163,0.0098,0.123,0.762,141.683,178958,,,,,0.315112398098737,0.0001387526962311,0.2672139742650736,0.1866986423001967,2.203022064369881e-05,0.1990912071267111,0.5820350523055069,0.3424609999821314,0.6658001896394833,0.4644981964139975,0.5369725870899668,0.1273898439343865,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.3580822705667466,0.3036522434830381,0.0001576735184444,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
HIM,Cyanide Sun,['Lead'],['Distortion Guitar'],Intermediate,3/8,29,2007,0.248,0.572,-6.411,0.0354,0.0204,0.206,0.0949,0.238,117.847,354133,,,,,0.1717874576838706,0.0719431983419756,0.1579123211373636,0.0655418871972699,0.0181273766046054,0.1719973653358133,0.4653944379431765,0.5438745475269611,0.56453630231812,0.1837715541954632,0.1214970426789204,0.1196400276540881,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.3003277232235501,0.2760704914988874,0.1257748222761812,3.0,3.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
HIM,Heartless,,"['Distortion Guitar', 'Lily Lazer (Guitar)']",Intermediate,3/8,24,2014,0.423,0.862,-4.425,0.0481,0.00126,0.0,0.312,0.169,114.353,242665,,,,,0.2282394663752936,0.0018338580386623,0.1537787608238356,0.1210969545524723,0.0003000901521112,0.1889743997192212,0.458896481446553,0.5252708274898448,0.4454536083270176,0.1831223110405146,0.1532389195391425,0.0226273455036663,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2647789633124056,0.1783976343663986,0.0021274455204899,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
HIM,Heaven Tonight,,"['Distortion Guitar 2', 'Lily Lazer (Guitar)']",Beginner,1/8,33,2014,0.637,0.558,-8.055,0.0397,0.0862,0.344,0.188,0.321,133.779,198845,,,,,0.3482723324170068,0.0150860475966117,0.3590809249640992,0.2304422671097097,0.0014277012537303,0.1978936394591588,0.6789030556821534,0.4680154961047168,0.5755064500491744,0.0134954061711007,0.4111062908789171,0.0667720547432867,Medium,Low,Medium,High,Medium,Medium,Medium-High,Low-Medium,Medium-Medium,Advanced,Intermidiate,Intermidiate,0.6241439649050301,0.6435142024446222,0.0270359275924942,6.0,6.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
HIM,The Beginning Of The End,,"['Distortion Guitar', 'Lily Lazer (Guitar)']",Beginner,1/8,23,2014,0.417,0.965,-4.677,0.107,7.16e-05,0.00125,0.136,0.176,148.398,247200,,,,,0.3240829710404506,0.0018058893818783,0.2834191570662132,0.1941353819064902,0.0002073559294996,0.2187649315672428,0.5949721414561701,0.4993605736348251,0.6952155246079611,0.4164909534625868,0.3397827435266229,0.1559052853045454,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.3358372756895861,0.2936986083587701,0.0018713879604956,3.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
John 5,First Victim,,"['Distortion Guitar', 'Guitar II (with Violin Bow)']",Intermediate,3/8,11,2007,0.187,0.353,-11.145,0.0351,0.0105,0.681,0.509,0.116,66.546,64601,,,,,0.0593982629634904,6.484367371238343e-07,0.0355294457922144,0.0278805632606563,9.065833278483589e-08,0.0088739298785469,0.5788406934629594,0.5904617002578165,0.4946038315405294,0.1567859272170104,0.4248547073552681,0.2318801101173016,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.1682670338909078,0.1006499880799277,1.8369312666397573e-06,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Oomph!,Das Letzte Streichholz,['Pista 4'],['Distortion Guitar'],Beginner,2/8,35,2006,0.586,0.945,-3.669,0.0349,0.00148,0.00469,0.391,0.696,103.008,213400,,,,,0.5488674291955237,0.000446220131351,0.1096852046047361,0.336438721708519,0.0001106286276106,0.0832529537348687,0.2976034325736751,0.4751428639835741,0.4384887325974098,0.0,0.5188580079023751,0.3062259725240029,Medium,Low,Low,Low,Medium,Medium,Medium-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.5808120943867976,0.1160689995817313,0.0004721906151863,6.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Oomph!,Brennende Liebe,['Pista 7'],['Distortion Guitar'],Intermediate,3/8,30,2006,0.598,0.879,-3.946,0.0483,0.0242,0.0,0.483,0.434,102.936,226160,,,,,0.4164749040489695,9.472606511534125e-06,0.1008364188443018,0.2979443416373808,7.828996713828418e-07,0.0772449918725959,0.47845369424927,0.4475593836990896,0.4903844747516818,0.2560809069576551,0.7452856476453174,0.1695664747393706,Medium,Low,Low,Medium,Medium,Medium,Medium-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.4738053515915467,0.1147172000504003,1.077657168547682e-05,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Oomph!,Fieber,['Pista 8'],['Distortion Guitar'],Intermediate,3/8,23,2019,0.709,0.795,-5.505,0.0399,0.00364,0.000209,0.0946,0.834,95.0,252867,,,,,0.3089562340006299,1.6375506939415808e-05,0.093711096613618,0.2191470557727542,1.411115663035115e-06,0.0685577349839691,0.2191931423245979,0.4228264857282044,0.3060554917419239,0.0,0.6207418373341467,0.2606041723598551,Low,Low,Low,Low,Medium,Low,Low-Low,Low-Medium,Low-Low,Beginner,Intermidiate,Beginner,0.3886241937114841,0.1178755932246768,2.0598121936372083e-05,4.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Oomph!,Ich Will Deine Seele,,"['Distortion Guitar', 'Ryhtm guitar']",Beginner,1/8,30,2006,0.545,0.951,-3.393,0.0372,0.000137,1.5e-05,0.321,0.567,105.011,200773,,,,,0.1769130177762086,0.0137904635042066,0.0495541227923268,0.0864922515785031,0.0018365155879574,0.0527254436016379,0.3397881571486065,0.3984685562648696,0.4184054043940597,0.3857673922320263,0.4955934867091884,0.394381221043744,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.186028409859315,0.0521073846396706,0.0145010131484822,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Oomph!,My Darkest Cave,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8,11,2001,0.315,0.868,-6.501,0.0396,0.000244,5.36e-06,0.117,0.512,164.824,218413,,,,,0.5219713582433861,3.2935433211344248e-06,0.0932050109654795,0.3504739553073562,2.712764418637166e-07,0.0702170868715194,0.38358979252087,0.5590001259809461,0.3840762619649893,0.0626786902018818,0.3439607173018778,0.1006859110613186,Medium,Low,Low,Medium,Medium,Medium,Medium-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.601349491063809,0.1073790448911055,3.79440474785072e-06,6.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Oomph!,Die Schlinge,,"['Overdriven Guitar', 'Lead Guitar']",Beginner,1/8,29,2006,0.356,0.789,-3.442,0.0626,0.0111,0.000107,0.0905,0.285,175.984,236160,,,,,0.6159634307160893,0.0193772681459416,0.0813734500936578,0.4315305535586969,0.0104451014132236,0.0753329054089198,0.6834359926165393,0.3228076987626072,0.5385429814263897,0.5445892970446476,0.4251765907593763,0.202721016080273,Medium,Low,Low,High,Low,Medium,Medium-High,Low-Low,Low-Medium,Advanced,Beginner,Intermidiate,0.7806887588290105,0.1031349177359414,0.0245592752166561,8.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Brian Head,Adonai,['Track 2'],['Distortion Guitar'],Intermediate,3/8,24,2008,0.58,0.969,-3.402,0.0535,0.000218,0.0,0.171,0.336,106.009,319427,,,,,0.1439488524333181,0.0005886221434868,0.0758000793963609,0.0806168646083342,4.6553204710556096e-05,0.0763893208562811,0.3044303205397128,0.5460854463468684,0.505064007200369,0.0124194125921201,0.3885366391652695,0.1487934641003264,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.148554027278966,0.0782250561365954,0.0006074531924528,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Dave Matthews Band,Stay Or Leave,,['Acoustic Guitar (steel) 2'],Intermediate,4/8,42,2011,0.271,0.772,-7.536,0.0501,0.0408,0.0,0.843,0.146,104.171,253107,,,,,0.1637202736688443,0.0002062877782941,0.0874870546544488,0.118704795472976,2.213780007260399e-05,0.1284544118268369,0.5042785288570664,0.4197695979434595,0.6004271449023006,0.3063446309460473,0.4458347988487847,0.1656719902870378,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2120728933534253,0.1133252003295969,0.0002672121480493,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Doom Vs,Threnode,['Clean 1'],['Electric Guitar (clean)'],Beginner,1/8,12,2008,0.291,0.472,-12.879,0.0387,0.00135,0.517,0.0683,0.0469,160.175,730213,,,,,0.0511620554087584,0.0072233523748877,0.0413719550851399,0.0270116606758899,0.0025405177873492,0.0192645158198697,0.5890588180425622,0.5048399034561546,0.6265323382483108,0.5553320019855407,0.1613774805933547,0.1468231852882913,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.1083941851880475,0.0876524472142796,0.0153037126586604,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Fresh Body Shop,Angry Machine,,"['Overdriven Guitar', 'R Guitar']",Intermediate,3/8,0,2009,0.647,0.928,-5.224,0.0344,0.00682,0.14,0.237,0.608,125.01,167061,,,,,0.2061550253357927,3.019197262021021e-05,0.055908744558039,0.1408125868186669,2.870577444804601e-06,0.0513779907783462,0.5656752855771109,0.573979568422852,0.5479634751849477,0.0,0.2997790058087671,0.007478274453364,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2221498117842593,0.0602464919806455,3.2534453254536866e-05,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Rompeprop,Foreskin Fart,['Dirty Dr Dente'],['Distortion Guitar'],Beginner,2/8,18,2010,0.312,0.998,-2.537,0.219,0.00449,1.22e-06,0.21,0.0826,112.134,190773,,,,,0.3782317663016824,5.48270776093052e-08,0.0410628961348197,0.3317241720565732,4.511094721683813e-09,0.0263964058244201,0.3284699587730332,0.5498536967600723,0.3899412055221959,0.2766816200969114,0.2017280204435248,0.1951299888525982,Medium,Low,Low,Low,Medium,Medium,Medium-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.3789897457932689,0.0411451865078354,5.4936951512329855e-08,4.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rompeprop,Pikzwarteflikkerkak,,['Distortion Guitar'],Beginner,2/8,15,2010,0.434,0.992,-4.015,0.306,0.00737,6.33e-06,0.132,0.0919,154.495,72320,,,,,0.3416715638063364,1.3217958368834817e-08,0.0465534366137234,0.4379223467970343,5.979101948643646e-10,0.0399271204035328,0.7816669200984325,0.4385804427691103,0.5972067112003415,0.0109301853109707,0.3929712822309639,0.1523544161468984,Medium,Low,Low,High,Medium,Medium,Medium-High,Low-Medium,Low-Medium,Advanced,Intermidiate,Intermidiate,0.3444269796434843,0.0469288675541566,1.3324554807293161e-08,3.0,0.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rompeprop,The Erected Underwater Necro Clitstomper,['Track 3'],['Distortion Guitar'],Intermediate,3/8,14,2021,0.209,0.988,-4.265,0.235,0.000608,0.000207,0.172,0.376,177.981,118147,,,,,0.2490540851450869,0.00021767976879,0.1683423569875118,0.34228774139552,3.957680215112821e-05,0.1088189667156432,0.628676176036727,0.4668301988436038,0.5092183084995303,0.5095594346621313,0.3509694556454217,0.1154984458313549,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2520790335476588,0.1703870009995059,0.0002203236526214,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Revolting,Rise Of The Revolter,['Lead'],['Distortion Guitar'],Intermediate,3/8,2,2016,0.37,0.982,-5.315,0.0642,6.62e-05,0.852,0.149,0.107,159.994,230621,,,,,0.1440308239645671,0.0849814393847868,0.0521985532606699,0.0662304181807177,0.0431895396127237,0.037274940038366,0.1274957368112735,0.4940260732396592,0.5838755249823617,0.2991505188799855,0.2024194065459081,0.2130442207675516,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.1466709001675837,0.053155349552617,0.0865391439763613,1.0,1.0,1.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Aerosmith,Girls Of Summer,"['JoePerry', 'BradWhitford']","['Electric Guitar (clean)', 'Baritone Guitar w/Tremolo']",Beginner,2/8,47,2002,0.536,0.839,-4.257,0.0373,0.00364,0.0,0.0977,0.645,119.972,193160,['StevenTyler'],['TomHamilton'],['JoeyKramer'],[],0.1847114941156594,0.001297048329944,0.0794799028372292,0.1214383860015337,0.0001032491393613,0.1081634737229808,0.2695795733071306,0.3884105573732955,0.4350798385327289,0.289482721903089,0.3221552217834125,0.1981858895772478,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.220156727193873,0.0947317077916915,0.0015459455660834,2.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Soilwork,Bastard Chain,['Spår 3'],['Distortion Guitar'],Intermediate,5/8,17,2001,0.156,0.969,-4.325,0.199,3.44e-06,0.859,0.192,0.212,157.157,242027,,,,,0.1353839365692702,2.802504975264268e-07,0.1796440799927187,0.1002595813127029,1.3720126390860766e-08,0.2002675884635859,0.6075899364420574,0.4102647069985263,0.7029821357229008,0.534246749075495,0.6568069021069323,0.2585662240881368,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.1397151048186483,0.1853912074228264,2.892161997176746e-07,1.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Equilibrium,Mana,['Rythm'],['Overdriven Guitar'],Beginner,1/8,28,2008,0.192,0.932,-4.24,0.0804,0.00174,0.82,0.132,0.157,179.306,982960,,,,,0.2069989048398083,0.0443055516505788,0.2100162381826726,0.1507761829201385,0.0080166695918254,0.1550605209889043,0.2058818914616036,0.6106711633286576,0.5560415755997637,0.4641704790560214,0.4193373850313951,0.1874750507626106,Low,Low,Low,Low,Medium,Medium,Low-Low,Low-Medium,Low-Medium,Beginner,Intermidiate,Intermidiate,0.2221018292272621,0.2253393113547989,0.0475381455478313,2.0,2.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
